Time (s),Temp (C),RH (%), v (m/s),,,
2.94393134,25.0041809,60.044735,6.36E-02,,,
2.95295811,25.004364,60.0441933,6.37E-02,,,
2.96198559,25.0037842,60.0458603,6.48E-02,,,
2.97099495,25.0043945,60.0440636,6.51E-02,,,
2.97999239,25.0044861,60.0438538,6.66E-02,,,
2.98900199,25.004425,60.0440331,6.72E-02,,,
2.99799705,25.004425,60.0440254,6.78E-02,,,
3.00695634,25.005249,60.0416641,6.76E-02,,,
3.01590538,25.0046082,60.0435371,7.01E-02,,,
3.02487731,25.0039062,60.0455208,7.03E-02,,,
3.03385115,25.004425,60.0440331,7.08E-02,,,
3.0428319,25.0035706,60.0464821,7.20E-02,,,
3.05181456,25.0037231,60.0460663,7.37E-02,,,
3.06078458,25.00354,60.0465775,7.63E-02,,,
3.06972623,25.0032959,60.0472984,7.62E-02,,,
3.0786829,25.0036011,60.0464172,7.76E-02,,,
3.08768225,25.004425,60.0440674,7.91E-02,,,
3.09668183,25.004303,60.0444069,8.03E-02,,,
3.10568905,25.0036621,60.0462723,8.12E-02,,,
3.11471701,25.0043335,60.0443497,8.33E-02,,,
3.12371898,25.004364,60.0442772,8.40E-02,,,
3.13270259,25.003479,60.0468407,8.57E-02,,,
3.14169407,25.0041504,60.0448723,8.60E-02,,,
3.15071201,25.0032043,60.0476036,8.78E-02,,,
3.15968537,25.0030518,60.0479851,8.90E-02,,,
3.16862273,25.0029907,60.0482178,8.93E-02,,,
3.17759967,25.0029907,60.0482216,9.31E-02,,,
3.18659878,25.0019836,60.0511246,9.53E-02,,,
3.19557881,25.0023193,60.0501709,9.79E-02,,,
3.20455122,25.0025635,60.0495033,1.01E-01,,,
3.21351242,25.0023193,60.0501709,1.04E-01,,,
3.22246361,25.0027466,60.0489616,1.05E-01,,,
3.23142838,25.0028076,60.0487595,1.07E-01,,,
3.2404182,25.0027771,60.0488586,1.11E-01,,,
3.24942017,25.0024109,60.0499077,1.13E-01,,,
3.25843382,25.0033569,60.0472336,1.16E-01,,,
3.26743531,25.0026245,60.0493317,1.19E-01,,,
3.27642846,25.0028076,60.0488052,1.21E-01,,,
3.28539133,25.0034485,60.046978,1.24E-01,,,
3.2942996,25.0033264,60.0476761,1.27E-01,,,
3.30319309,25.0045166,60.0442238,1.28E-01,,,
3.31211543,25.0037537,60.0461502,1.30E-01,,,
3.32103014,25.0043945,60.0442772,1.30E-01,,,
3.32993102,25.0045166,60.0439835,1.32E-01,,,
3.33884454,25.0049438,60.0424881,1.33E-01,,,
3.3478024,25.0049133,60.0425606,1.35E-01,,,
3.35675859,25.0046082,60.0434608,1.38E-01,,,
3.36569357,25.0050964,60.0420647,1.41E-01,,,
3.37462044,25.004425,60.043705,1.41E-01,,,
3.38356614,25.0050659,60.041214,1.43E-01,,,
3.39253187,25.0041809,60.0434418,1.49E-01,,,
3.40147972,25.004303,60.042469,1.54E-01,,,
3.41040897,25.0041809,60.042881,1.58E-01,,,
3.41933274,25.0032959,60.0454636,1.63E-01,,,
3.42826414,25.0028381,60.0476074,1.65E-01,,,
3.4372344,25.002594,60.0479736,1.69E-01,,,
3.44624805,25.0016479,60.0495644,1.76E-01,,,
3.45526123,25.0005493,60.0506477,1.85E-01,,,
3.46424651,24.999115,60.0503311,1.91E-01,,,
3.47319245,24.9959717,60.0513878,1.98E-01,,,
3.48210907,24.9929504,60.048645,2.03E-01,,,
3.49101734,24.9891663,60.0445557,2.08E-01,,,
3.49994946,24.9801025,60.0389709,2.12E-01,,,
3.50893283,24.963501,60.0326424,2.12E-01,,,
3.51796818,24.9398804,60.0168762,2.16E-01,,,
3.52701306,24.9023438,59.9965286,2.20E-01,,,
3.5360477,24.8464966,59.9662323,2.23E-01,,,
3.54506946,24.7719116,59.9214211,2.25E-01,,,
3.55407214,24.677002,59.8647308,2.23E-01,,,
3.56304646,24.5644836,59.7939491,2.22E-01,,,
3.57198191,24.438446,59.7106934,2.18E-01,,,
3.58091021,24.3063965,59.6162033,2.16E-01,,,
3.58984256,24.1606445,59.5157738,2.12E-01,,,
3.59878731,24.0229187,59.4054565,2.08E-01,,,
3.60774636,23.9002686,59.3008652,2.06E-01,,,
3.61670899,23.7962646,59.2100067,2.03E-01,,,
3.6256671,23.7154846,59.1301575,2.03E-01,,,
3.63464332,23.6567993,59.0732498,2.08E-01,,,
3.64362454,23.623291,59.0713425,2.15E-01,,,
3.65256214,23.6264343,59.0664253,2.23E-01,,,
3.66148281,23.6513977,59.0769272,2.34E-01,,,
3.67039132,23.6880493,59.1136856,2.44E-01,,,
3.67933798,23.7258911,59.1253052,2.55E-01,,,
3.68831468,23.7512512,59.1273079,2.65E-01,,,
3.69725084,23.7553711,59.1101227,2.79E-01,,,
3.70624065,23.7271729,59.0512505,2.91E-01,,,
3.7152617,23.653595,58.9556999,2.97E-01,,,
3.72427034,23.5279236,58.8030815,3.06E-01,,,
3.73327827,23.3753662,58.6483879,3.12E-01,,,
3.7422483,23.2072144,58.4523392,3.18E-01,,,
3.75116944,23.0297852,58.2468376,3.29E-01,,,
3.7600739,22.8573608,58.0479546,3.36E-01,,,
3.76899052,22.7049255,57.8754616,3.42E-01,,,
3.77792311,22.5809326,57.7363739,3.51E-01,,,
3.78686619,22.4954529,57.656662,3.61E-01,,,
3.79582596,22.4481812,57.6084785,3.72E-01,,,
3.80480146,22.4467468,57.5835304,3.81E-01,,,
3.81378579,22.4620361,57.6219673,3.93E-01,,,
3.8227818,22.5039368,57.6928978,3.98E-01,,,
3.83179712,22.5805054,57.7858696,4.02E-01,,,
3.84084725,22.682373,57.8980331,4.09E-01,,,
3.849895,22.8044739,58.0210457,4.12E-01,,,
3.8589282,22.9363403,58.1569977,4.15E-01,,,
3.86792445,23.0665588,58.2956619,4.17E-01,,,
3.87691665,23.188446,58.4131584,4.21E-01,,,
3.88594031,23.2875061,58.5082893,4.19E-01,,,
3.89496899,23.3614197,58.5907516,4.19E-01,,,
3.9040091,23.4179077,58.6698341,4.18E-01,,,
3.9130466,23.460907,58.7147827,4.15E-01,,,
3.92208409,23.4853516,58.7377663,4.11E-01,,,
3.93111849,23.4934692,58.8195992,4.08E-01,,,
3.94016767,23.5079956,58.855854,4.01E-01,,,
3.94924164,23.5211487,58.8761444,3.93E-01,,,
3.95832729,23.5321655,58.894165,3.87E-01,,,
